"Name","House","Card Number","Raw Amber","Power","Armor","Anomaly","Reprint","Text","Aerc Score","Amber Control","Expected Amber","Aember Protection","Artifact Control","Creature Control","Effective Power","Efficiency","Disruption","House Cheating","Other"
"Alaka","Brobnar","001","0","4","","","","If you used a creature to fight this turn, Alaka enters play ready.","1.3","0","0.5","0","0","0","4","0","0","0","0"
"Alaka's Brew","Brobnar","002","1","","","","","Play: Give a creature two +1 power counters.","1","0","1","0","0","0","0","0","0","0","0"
"Ballcano","Brobnar","003","0","","","","","Play: Deal 4 damage to each creature. Gain
2 chains.","0.75","0","0","0","0","1.5","0","-0.75","0","0","0"
"Barn Razing","Brobnar","004","0","","","","","Play: For the remainder of the turn, your opponent loses 1 aember each time a friendly
​creature fights.","1","1","0","0","0","0","0","0","0","0","0"
"Berserker Slam","Brobnar","005","1","","","","","Play: Deal 4 damage to a flank creature. If this damage destroys that creature, its controller loses 1 aember.","2.5","0.75","1","0","0","0.75","0","0","0","0","0"
"Cowfyne","Brobnar","006","0","5","0","","true","Before Fight: Deal 2 damage to each neighbor of the creature Cowfyne fights.","0.4","0","0","0","0","0","0","0","0","0","0"
"Ganger Chieftain","Brobnar","007","0","5","0","","true","Play: You may ready and fight with a neighboring creature.","0.4","0","0","0","0","0","0","0","0","0","0"
"Groke","Brobnar","008","0","5","0","","true","Fight: Your opponent loses 1 aember.","0.4","0","0","0","0","0","0","0","0","0","0"
"Gron Nine-Toes","Brobnar","009","0","5","0","","","Gron Nine-Toes gets +4 power while it is damaged. (Gron Nine-Toes gets the power bonus only if he survives the damage.)","1.1","0","0","0","0","0","7","0","0","0","0"
"Irestaff","Brobnar","010","1","","","","","Action: Enrage a creature. Give that creature a +1 power counter.","1.7","0","1","0","0","0.5","2","0","0","0","0"
"Mogghunter","Brobnar","011","0","6","","","","Fight: Deal 2 Damage to a flank creature.","1.5","0","0","0","0","0.5","6","0","0","0","0"
"Narp","Brobnar","012","0","8","1","","","Narp's neighbors cannot reap.","0.8","0","-0.5","0","0","0","9","0","0","0","0"
"Shorty","Brobnar","013","0","4","","","","Assault 4.
Reap: Enrage Shorty.","1.2000000000000002","0","0","0","0","0","8","0","0","0","0"
"Stilt-Kin","Brobnar","014","0","2","","","","Skirmish.
After a Giant creature is played adjacent to Stilt-Kin, ready and fight with Stilt-Kin.","1.5499999999999998","0","0.25","0","0","0.5","4","0","0","0","0"
"Tremor","Brobnar","015","0","","","","true","Play: Stun a creature and each of its neighbors.","0","0","0","0","0","0","0","0","0","0","0"
"Warrior's Refrain","Brobnar","016","1","","","","","Play: Stun each creature with power 3 or lower.","2","0","1","0","0","1","0","0","0","0","0"
"Blood Money","Brobnar","017","0","","","","true","Play: Place 2 aember from the common supply on an enemy creature.","0","0","0","0","0","0","0","0","0","0","0"
"Flamethrower","Brobnar","018","0","","","","true","Action: Deal 1 damage to a creature, with 1 damage splash.","0","0","0","0","0","0","0","0","0","0","0"
"Flamewake Shaman","Brobnar","019","0","4","0","","true","Play: Deal 2 damage to a creature.","0.4","0","0","0","0","0","0","0","0","0","0"
"Fyre-Breath","Brobnar","020","1","","","","","This creature gets +3 power and gains, ""Before Fight: Deal 2 Damage to each neighbor of the creature this creature fights.""","2.05","0","1","0","0","0.75","3","0","0","0","0"
"Gargantes Scrapper","Brobnar","021","0","3","0","","true","Play: If you have 3 aember or more, deal 3 damage to an enemy creature.","0.4","0","0","0","0","0","0","0","0","0","0"
"Gravelguts","Brobnar","022","0","5","0","","","After an enemy creature is destroyed fighting Gravelguts, give Gravelguts
​two +1 power counters.","1.1","0","0","0","0","0","7","0","0","0","0"
"Little Rapscal","Brobnar","023","0","2","0","","true","Creatures must fight when used, if able.","0.4","0","0","0","0","0","0","0","0","0","0"
"Ogopogo","Brobnar","024","0","6","0","","true","After Ogopogo attacks and destroys a creature, you may deal 2 damage to a 
​creature.","0.4","0","0","0","0","0","0","0","0","0","0"
"Overrun","Brobnar","025","1","","","","","Play: If 3 or more enemy creatures have been destroyed this turn, your opponent loses 2 aember.","1.75","0.75","1","0","0","0","0","0","0","0","0"
"Power of Fire","Brobnar","026","0","","","","","Play: Sacrifice a friendly creature. If you do, each player loses aember equal to half that creature's power (rounding down the loss). Gain 1 chain.","0.8","2","-0.5","0","0","0","-2","-0.5","0","0","0"
"Ragwarg","Brobnar","027","1","","","","","After a creature reaps, if it is the first time a creature reaped this turn, deal 2 damage to it.","1.25","0","1","0","0","0.25","0","0","0","0","0"
"Shattered Throne","Brobnar","028","1","","","","","After a creature is used to fight, it captures 1 aember.","1.5","1","1","-0.5","0","0","0","0","0","0","0"
"Skoll","Brobnar","029","0","3","","","","Assault 3.

After an enemy creature is destroyed by Skoll's assault damage, give a friendly creature a +1 power counter.","1.1","0","0","0","0","0","7","0","0","0","0"
"Slimy Jark","Brobnar","030","0","1","","","","Skirmish. Elusive.

Fight: Enrage the creature Slimy Jark fights.","0.95","0","0","0","0","0.25","3","0","0","0","0"
"Smith","Brobnar","031","1","","","","true","Play: Gain 2 aember if you control more creatures than your opponent.","1","0","1","0","0","0","0","0","0","0","0"
"The Flex","Brobnar","032","0","","","","true","Play: Choose a ready friendly Brobnar creature. Exhaust it and gain aember equal to half its power
​(rounding down the gain).","0","0","0","0","0","0","0","0","0","0","0"
"Barehanded","Brobnar","033","1","","","","true","Play: Put each artifact on top of its owner’s deck.
​","1","0","1","0","0","0","0","0","0","0","0"
"Bellowing Patrizate","Brobnar","034","0","7","0","","true","While Bellowing Patrizate is ready, each creature takes 1 damage after it enters play.","0.4","0","0","0","0","0","0","0","0","0","0"
"Cybergiant Rig","Brobnar","035","1","","","","true","This creature gains, “At the end of your turn, this creature loses a +1 power counter.” 
​Play: Fully heal this creature and give it a 
​+1 power counter for each damage healed","1","0","1","0","0","0","0","0","0","0","0"
"Forgemaster Og","Brobnar","036","0","4","0","","true","After a player forges a key, they lose all of their remaining aember.","0.4","0","0","0","0","0","0","0","0","0","0"
"Grumpus Tamer","Brobnar","037","0","4","0","","true","Reap: Search your deck and discard pile for a War Grumpus, reveal it, and add it
​to your hand. Then, shuffle your deck.","0.4","0","0","0","0","0","0","0","0","0","0"
"Guji Dinosaur Hunter","Brobnar","038","0","4","0","","","Elusive.

Action: Deal 2 damage to a creature. Deal 6 damage instead of it is a Dinosaur creature or
​has aember on it.","1.75","0","0","0.25","0","0.5","6","0","0","0","0"
"Igon the Green","Brobnar","039","0","4","0","","","Destroyed: Purge Igon the Green. Return an Igon the Terrible from your discard pile to your hand.","0.8","0","0","0","0","0","4","0","0","0","0"
"Iron Obelisk","Brobnar","040","0","","","","true","Your opponent’s keys cost +1 aember for each friendly damaged Brobnar creature.","0","0","0","0","0","0","0","0","0","0","0"
"Kaloch Stonefather","Brobnar","041","0","6","0","","","While Kaloch Stonefather is in the center of your battleline, each friendly
​creature gains skirmish.","1.5","0","0","0","0","0","11","0","0","0","0"
"Lava Ball","Brobnar","042","0","","","","true","Play: Deal 4 damage to a creature with 2 damage splash.","0","0","0","0","0","0","0","0","0","0","0"
"Mugwump","Brobnar","043","0","6","0","","true","After an enemy creature is destroyed fighting Mugwump, fully 
​heal Mugwump and give it a +1
​power counter.","0.4","0","0","0","0","0","0","0","0","0","0"
"Nogi Smartfist","Brobnar","044","0","5","0","","","Fight: Draw 2 cards. Discard 2 random cards from your hand.","1.4","0","0","0","0","0","5","0.5","0","0","0"
"Old Boomy","Brobnar","045","0","2","","","","Reap: Reveal cards from the top of your
deck until you reveal a Brobnar card or 
choose to stop. Deal 2 damage to Old Boomy
if a Brobnar card was revealed. Archive 
each card revealed this way.","1.5999999999999999","0","0","0","0","0","2","1","0","0","0"
"Pile of Skulls","Brobnar","046","0","","","","true","Each time an enemy creature is destroyed during your turn, a friendly creature captures
​1 aember.","0","0","0","0","0","0","0","0","0","0","0"
"Ragnarok","Brobnar","047","0","","","","","Alpha.
Play: For the remainder of the turn, creatures cannot reap and you gain 1 aember whenever a friendly creature fights. At the end of the turn, destroy each creature.","0.5","0","-0.5","0","0","1","0","0","0","0","0"
"Rock-Hurling Giant","Brobnar","048","0","6","0","","true","During your turn, each time you discard a Brobnar card from your hand, you may 
​deal 4 damage to a creature.","0.4","0","0","0","0","0","0","0","0","0","0"
"Signal Fire","Brobnar","049","1","","","","true","Omni: Sacrifice Signal Fire. For the remainder of the turn, friendly Brobnar creatures may fight as 
​though they belonged to the active house.","1","0","1","0","0","0","0","0","0","0","0"
"The Big One","Brobnar","050","1","","","","","After a creature is played, put a fuse counter on The Big One. If there are 10 or more fuse counters on The Big One, destroy each creature and artifact.","2","0","1","0","0","1","0","0","0","0","0"
"The Floor is Lava","Brobnar","051","1","","","","","At the start of your turn, deal 1 damage to a friendly creature and deal 1 damage to an
​enemy creature.","2.5","0","1","0","0","1.5","0","0","0","0","0"
"War Grumpus","Brobnar","052","0","3","0","","true","Fight/Reap: Ready and fight with a neighboring Giant.","0.4","0","0","0","0","0","0","0","0","0","0"
"Igon the Terrible","Brobnar","053","0","8","0","","","Play: If Igon the Green has not been purged, destroy Igon the Terrible.
​Fight: Steal 1 aember.","2.7","1","1","0","0","0","8","-0.5","0","0","0"
"Mega Alaka","Brobnar","054","0","6","0","","","If you have used a creature to fight this turn, Mega Alaka enters play ready.","1.5","0","0.5","0","0","0","6","0","0","0","0"
"Mega Cowfyne","Brobnar","055","0","7","0","","","Before Fight: Deal 2 damage to each neighbor of the creature Mega Cowfyne fights.","1.8499999999999999","0","0","0","0","0.75","7","0","0","0","0"
"Mega Ganger Chieftain","Brobnar","056","0","7","0","","","Play: You may ready and fight with a neighboring creature.","2.0999999999999996","0","0","0","0","0.5","7","0","0","0.5","0"
"Mega Groke","Brobnar","057","0","7","0","","","Fight: Your opponent loses 1 aember.","1.8499999999999999","0.75","0","0","0","0","7","0","0","0","0"
"Mega Gron Nine-Toes","Brobnar","058","0","7","","","","Mega Gron Nine-Toes gets +4 power while he is damaged. (He gets the power bonus only if he survives the damage.)","1.4","0","0","0","0","0","10","0","0","0","0"
"Mega Mogghunter","Brobnar","059","0","8","0","","","Fight: Deal 2 damage to a flank creature.","1.7000000000000002","0","0","0","0","0.5","8","0","0","0","0"
"Mega Narp","Brobnar","060","0","10","1","","","Narp's neighbors cannot reap.","0.7500000000000001","0","-0.75","0","0","0","11","0","0","0","0"
"Mega Shorty","Brobnar","061","0","6","","","","Assault 4.

Reap: Enrage Shorty.","1.4","0","0","0","0","0","10","0","0","0","0"
"Chieftain's Brew","Brobnar","062","1","","","","","Play: Give a creature two +1 power counters.","1.2","0","1","0","0","0","2","0","0","0","0"
"Cowfyne's Brew","Brobnar","063","1","","","","","Play: Give a creature two +1 power counters.","1.2","0","1","0","0","0","2","0","0","0","0"
"Groke's Brew","Brobnar","064","1","","","","","Play: Give a creature two +1 power counters.","1.2","0","1","0","0","0","2","0","0","0","0"
"Gron's Brew","Brobnar","065","1","","","","","Play: Give a creature two +1 power counters.","1.2","0","1","0","0","0","2","0","0","0","0"
"Mogghunter's Brew","Brobnar","066","1","","","","","Play: Give a creature two +1 power counters.","1.2","0","1","0","0","0","2","0","0","0","0"
"Narp's Brew","Brobnar","067","1","","","","","Play: Give a creature two +1 power counters.","1.2","0","1","0","0","0","2","0","0","0","0"
"Shorty's Brew","Brobnar","068","1","","","","","Play: Give a creature two +1 power counters.","1.2","0","1","0","0","0","2","0","0","0","0"
"Binding Irons","Dis","069","0","","","","true","Play: Your opponent gains 3 chains.","0","0","0","0","0","0","0","0","0","0","0"
"Buzzle","Dis","070","0","3","","","","Skirmish.
Play/Fight: You may purge one of Buzzle's neightbors. If you do, ready Buzzle.","1.4","0","0.5","0","0","0","5","0","0","0","0"
"Dendrix","Dis","071","0","5","","","","Fight: Your opponent discards a random card from their hand.","1.4","0","0","0","0","0","5","0","0.5","0","0"
"Draining Touch","Dis","072","0","","","","","Play: Destroy a creature with no aember on it.","1","0","0","0","0","1","0","0","0","0","0"
"Etaromme","Dis","073","0","4","","","","Reap: Destroy a creature of the house with the most creatures in play.","1.5499999999999998","0","0","0","0","0.75","4","0","0","0","0"
"Exhume","Dis","074","1","","","","true","Play: Choose a creature in your discard pile. You may play that creature as if it 
​belonged to the active house and was
​in your hand.","1","0","1","0","0","0","0","0","0","0","0"
"Festering Touch","Dis","075","1","","","","","Play: Choose up to 2 creatures. Deal 1 damage to each chosen creature. If that creature was already damaged, deal 3 damage instead.","2","0","1","0","0","1","0","0","0","0","0"
"Harbringer of Doom","Dis","076","0","2","3","","","Destroyed: Destroy each creature.","0.9","0","0","0","0","0","5","0","0","0","0"
"Impspector","Dis","077","0","2","","","","Destroyed: Purge a random card from your opponent's hand.","0.4","0","0","0","0","0","0","0","0","0","0"
"Infurnace","Dis","078","0","4","","","","Play: Purge up to 2 cards from a discard pile. Your opponent loses aember equal to the total aember bonus of the purged cards.","3.05","2","0","0","0","0","4","0","0.25","0","0"
"Lilithal","Dis","079","0","5","","","","Fight / Reap: Capture 1 aember.","1.4","0.5","0","0","0","0","5","0","0","0","0"
"Malison","Dis","080","0","5","","","","Fight: You may move an enemy creature anywhere in its controller's battleline. Then, if it is on a flank, it captures 1 aember from its own side.","1.65","0.5","0.25","0","0","0","5","0","0","0","0"
"Misery Exploit","Dis","081","0","","","","true","Play: Gain 1 aember for each damaged enemy creature.","0","0","0","0","0","0","0","0","0","0","0"
"Not Finished with You","Dis","082","1","","","","true","Play: Shuffle any number of creatures from your discard pile into your deck.","1","0","1","0","0","0","0","0","0","0","0"
"Rotgrub","Dis","083","0","1","","","","Play: Your opponent loses 1 aember.

Reap: Archive Rotgrub.","1.75","1","0","0","0","0","1","0.25","0","0","0"
"The Evil Eye","Dis","084","1","","","","","Play: Keys cost +3 aember during your opponent's next turn.","2.5","1.5","1","0","0","0","0","0","0","0","0"
"Bloodshard Imp","Dis","085","0","2","0","","true","After a creature reaps, its controller must sacrifice it.","0.4","0","0","0","0","0","0","0","0","0","0"
"Borr Nit","Dis","086","0","3","","","","Reap: Reveal the top 5 cards of a player's deck. Purge a card revealed this way. Shuffle the other revealed cards into that deck.","1.2","0","0","0","0","0","3","0.25","0.25","0","0"
"Borr Nit's Touch","Dis","087","1","","","","","Play: Reveal the top 5 cards of a player's deck. Purge a card revealed this way.
​Shuffle the other revealed cards into that deck.","1.75","0","1","0","0","0","0","0.25","0.5","0","0"
"E'e on the Fringes","Dis","088","0","1","","","","Elusive.

During your turn, after you discard a Dis card from your hand, you may purge a Dis card from a discard pile. If you do, steal 1 aember.","1.5","0.5","0.5","0","0","0","1","0","0","0","0"
"Giants' Bane","Dis","089","1","","","","","Play: Destroy a Giant creature.","1.25","0","1","0","0","0.25","0","0","0","0","0"
"Gleeful Mayhem","Dis","090","1","","","","","Play: For each house, deal 5 damage to a creature of that house.","3","0","1","0","0","2","0","0","0","0","0"
"Hysteria","Dis","091","0","","","","true","Play: Return each creature to its owner’s hand.
​","0","0","0","0","0","0","0","0","0","0","0"
"Library of the Damned","Dis","092","0","","","","true","Action: Archive a card.","0","0","0","0","0","0","0","0","0","0","0"
"Obsidian Forge","Dis","093","1","","","","","Action: Sacrifice any number of friendly creatures. Then, you may forge a key at
​+6 aember current cost, reduced by 1 aember for
​each creature sacrificed this way. If you 
​do, destroy Obsidian Forge.","1.5","0","1","0.5","0","0","0","0","0","0","0"
"Poltergeist","Dis","094","1","","","","true","Play: Use an artifact controlled by any player as if it were yours. Destroy
​that artifact.","1","0","1","0","0","0","0","0","0","0","0"
"Skullion","Dis","095","0","7","2","","true","Play: Sacrifice a friendly creature.","0.4","0","0","0","0","0","0","0","0","0","0"
"Snag","Dis","096","0","5","","","","Fight: Your opponent must choose the house of the creature Snag fights as their active house on their next turn.","2.15","0","0","0.5","0","0","5","0","0.75","0","0"
"Soul Fiddle","Dis","097","0","","","","","Action: Enrage a creature.","0.25","0.25","0","0","0","0","0","0","0","0","0"
"Soulkeeper","Dis","098","1","","","","true","This creature gains, ""Destroyed: Destroy the most powerful enemy
​creature.""","1","0","1","0","0","0","0","0","0","0","0"
"Spyyyder","Dis","099","0","2","0","","true","Spyyyder gains poison while attacking an enemy flank creature.","0.4","0","0","0","0","0","0","0","0","0","0"
"Three Fates","Dis","100","1","","","","true","Play: Destroy the 3 most powerful creatures.","1","0","1","0","0","0","0","0","0","0","0"
"A Fair Game","Dis","101","0","","","","true","Play: Discard the top card of your opponent’s deck and reveal their hand. You gain 1 aember
​ for each card of the discarded card’s house 
​revealed this way. Your opponent repeats the 
​preceding effect on you.","0","0","0","0","0","0","0","0","0","0","0"
"Collar of Subordination","Dis","102","0","","","","true","You control this creature.","0","0","0","0","0","0","0","0","0","0","0"
"Creeping Oblivion","Dis","103","1","","","","true","Play: Purge up to 2 cards from a discard pile.","1","0","1","0","0","0","0","0","0","0","0"
"Eater of the Dead","Dis","104","0","4","0","","true","Fight/Reap: Purge a creature from a discard pile. If you do, put a +1 power counter on 
​Eater of the Dead.","0.4","0","0","0","0","0","0","0","0","0","0"
"Greater Oxtet","Dis","105","0","4","","","","Taunt.
At the end of your ""ready cards"" step, purge a card from your hand. If you do, give Greater Oxlet two +1 power counters.","3.7","0","0","0","0","0","8","2.5","0","0","0"
"Harvest Time","Dis","106","0","","","","","Play: Choose a trait. Purge each card with that trait.  Each player gains 1 aember
​for each card they controlled that was
​purged this way.","1","0","1","0","0","0","0","0","0","0","0"
"Hecatomb","Dis","107","1","","","","true","Play: Destroy each Dis creature. Each player gains 1 aember for each creature they 
​controlled that was destroyed this way.","0","0","0","0","0","0","0","0","0","0","0"
"Key to Dis","Dis","108","0","","","","true","Omni: Sacrifice Key to Dis. Destroy each creature.","0","0","0","0","0","0","0","0","0","0","0"
"Lesser Oxtet","Dis","109","0","3","0","","","Elusive.

Play: Purge each card in your hand. Reap: Keys cost +3 aember during your
​opponent's next turn.","2.4","1","0","0","0","0","5","0.5","0","0","0"
"Lord Invidius","Dis","110","0","5","","","","Elusive.

While Lord Invidius is in the center of your battleline, it gains, ""Reap: Take Control of an enemy flank creature and exhaust it. While under your control, it belongs to house Dis.""","2.3499999999999996","0","0","0","0","0.75","7","0.5","0","0","0"
"Neffru","Dis","111","0","4","0","","true","Each time a creature is destroyed, its owner gains 1 aember.","0.4","0","0","0","0","0","0","0","0","0","0"
"Noname","Dis","112","0","1","0","","","Noname gets +1 power for each purged card.
​Play/Fight/Reap: Purge a card in a 
​discard pile.","1.2","0","0","0","0","0","3","0.25","0.25","0","0"
"Onyx Knight","Dis","113","0","4","0","","true","Play: Destroy each creature with odd power.","0.4","0","0","0","0","0","0","0","0","0","0"
"Orb of Invidius","Dis","114","0","","","","true","After a creature reaps, stun it.","0","0","0","0","0","0","0","0","0","0","0"
"Ortannu the Chained","Dis","115","0","7","0","","true","Reap: Return each copy of Ortannu’s Binding from your discard pile to your hand. For each 
​one returned this way, deal 2 damage to a creature, 
​with 2 damage splash.","0.4","0","0","0","0","0","0","0","0","0","0"
"Sinestra","Dis","116","0","5","0","","","After your opponent plays a creature on their left flank, they lose 1 aember.","1.9","1","0","0","0","0","5","0","0","0","0"
"Snag's Mirror","Dis","117","1","","","","","After a player chooses an active house, their opponent cannot choose the same house as their active house on their next turn.","1","0","1","0","0","0","0","0","0","0","0"
"Snaglet","Dis","118","0","2","0","","","Elusive.
Action: Choose a house. If your opponent chooses that house as their active house on their next turn, steal 2 aember.","1.05","0","0","0","0","0","4","0","0.25","0","0"
"Soul Snatcher","Dis","119","0","","","","true","Each time a creature is destroyed, its owner gains 1 aember.","0","0","0","0","0","0","0","0","0","0","0"
"Wretched Doll","Dis","120","0","","","","true","Action: If there is a doom counter in play, destroy all creatures with doom
​counters. Otherwise, put a doom
​counter on a creature.","0","0","0","0","0","0","0","0","0","0","0"
"Ortannu's Binding","Dis","121","1","","","","true","Play: Deal 2 damage to a friendly creature.","0","0","0","0","0","0","0","0","0","0","0"
"Beasts' Bane","Dis","122","1","","","","","Play: Destroy a Beast creature.","1.25","0","1","0","0","0.25","0","0","0","0","0"
"Demon's Bane","Dis","123","1","","","","","Play: Destroy a demon creature.","1","0","1","0","0","0","0","0","0","0","0"
"Dexus","Dis","124","0","5","0","","","After your opponent plays a creature on their right flank, they lose 1 aember.","1.9","1","0","0","0","0","5","0","0","0","0"
"Dinosaurs' Bane","Dis","125","1","","","","","Play: Destroy a Dinosaur creature.","1.25","0","1","0","0","0.25","0","0","0","0","0"
"Humans' Bane","Dis","126","1","","","","","Play: Destroy a Human creature.","1.25","0","1","0","0","0.25","0","0","0","0","0"
"Scientists' Bane","Dis","127","1","","","","","Play: Destroy a Scientist creature.","1.25","0","1","0","0","0.25","0","0","0","0","0"
"Thieves' Bane","Dis","128","1","","","","","Play: Destroy a Thief creature.","1.25","0","1","0","0","0.25","0","0","0","0","0"
"Babbling Bibliophile","Logos","129","0","1","","","","Reap: Draw 2 cards.","1","0","0","0","0","0","1","0.5","0","0","0"
"Cutthroat Research","Logos","130","1","","","","true","Play: Steal 2 aember if your opponent has 8 aember or more.","0","0","0","0","0","0","0","0","0","0","0"
"Daughter","Logos","131","0","2","","","","Elusive.

During your ""draw cards"" step, refill your hand to 1 additional card.","2.8","0","0","0","0","0","4","2","0","0","0"
"EDAI "Eddie" 4x4","Logos","132","0","3","","","","Play: Archive a card.

Your opponent's keys cost +1 aember for each card in your archives.","3.1999999999999997","1","0","0","0","0","3","1.5","0","0","0"
"Eyegor","Logos","133","0","2","0","","true","Play: Look at the top 3 cards of your deck. Add 1 to your hand and discard
​the others.","0.4","0","0","0","0","0","0","0","0","0","0"
"Hapsis","Logos","134","0","5","","","","After an enemy creature is destroyed fighting Hapsis, ward Hapsis and draw a card.","1.6","0","0","0","0","0","12","0","0","0","0"
"Hologrammophone","Logos","135","1","","","","","Action: Ward a creature.","1.5","0","1","0","0","0","5","0","0","0","0"
"Information Exchange","Logos","136","0","","","","","Play: Steal 1 aember. If you opponent stole aember from you on your previous turn, steal 2 aember instead.","2.5","1.25","1.25","0","0","0","0","0","0","0","0"
"Quant","Logos","137","0","3","","","","Reap: You may play one non-Logos action card this turn.","1.2","0","0","0","0","0","3","0.5","0","0","0"
"Sanitation Engineer","Logos","138","0","4","","","","Hazardous 1.

Reap: Discard a card from your hand.","1.4","0","0","0","0","0","5","0.5","0","0","0"
"Tautau Vapors","Logos","139","0","","","","","Play: Draw 2 cards. Archive a card.","2.5","0","0","0","0","0","0","2.5","0","0","0"
"Thorium Plasmate","Logos","140","1","","","","","Play: Move an enemy creature anywhere in its controller's battleline. Deal 2 damage to that creature for each of its neighbors that shares a house with it.","2","0","1","0","0","1","0","0","0","0","0"
"Titan Guardian","Logos","141","0","5","1","","","Taunt.

Destroyed: If Titan Guardian is not on a flank, draw 2 cards.","2.2","0","0","0","0","0","8","1","0","0","0"
